"Field Name","IQ Field","Type","Beg","Size","End","Description","Validated","Required","Default Value","Notes"
"Cust-code","$Object->company_id()","Text",1,8,8,"Customer Code","Yes","Yes",,"Duplicates OK"
"Contact-name","$Object->name()","Text",9,40,48,"Contact Name",,"Yes",,
"Contact-Address1",,"Text",49,40,88,"Contact Address 1",,,,
"Contact-Address2",,"Text",89,40,128,"Contact Address 2",,,,
"Contact-Address3",,"Text",129,40,168,"Contact Address 3",,,,
"Contact-City",,"Text",169,40,208,"Contact City",,,,
"Contact-State",,"Text",209,3,211,"Contact State",,,,
"Contact-Zip",,"Text",212,10,221,"Contact Zip Code",,,,
"Contact-Country",,"Text",222,40,261,"Contract Country",,,,
"Notes","$Object->notes()","Text",262,254,515,"Notes concerning contact",,,,
"Contact-AR","$Object->administrator() eq 'Y' ? 1 : 0","Text",516,1,516,"AR Contact Flag","Yes",,0,"0=No, 1=Yes (Only 1 record per customer can be set as the AR contact)"
"Contact-Phone","$Object->phone()","Text",517,20,536,"Contact Phone",,,,
"Contact-Phone2","$Object->mobile()","Text",537,20,556,"Contact Additional Phone",,,,
"Contact-Fax","$Object->fax()","Text",557,20,576,"Contact Fax",,,,
"Contact-Title","$Object->title()","Text",577,20,596,"Contact Title",,,,
"Other-Data",,"Text",597,20,616,"Other Data",,,,
"External-Access-Password","$Object->password()","Text",617,16,632,"External Access Password ",,,,
"Contact-type",,"Text",633,20,652,"Contact Type",,,,
"E-Mail-Address","Email::Valid->address($Object->email()) ? $Object->email()  : ''","Text",653,80,732,"E-Mail Address",,,,
"PSF-User-ID",,"Text",733,50,782,"PrinterSite Fulfillment User ID",,,,
"PSF-Auto-Accept-Orders",,"Text",783,1,783,"Flag to Auto Accept Orders for a Contact",,,,"0=No, 1=Yes"
"PSE-User-ID",,"Text",784,32,815,"PrinterSite Exchange User ID",,,,
"PSE-Contact",,"Text",816,1,816,"PrinterSite Exchange Contact Flag",,,,"0=No, 1=Yes"
"PrintStreamContact",,"Text",817,1,817,"PrintStream Contact",,,0,"0=No, 1=Yes; Available only when PrintStream module is enabled"
